step,linear_x,angular_z,confidence
1,0.0005616495036520063,-2.2049695498394353e-08,1.0
2,0.0009598582983016967,6.234235418024124e-08,1.0
3,0.000999878296473374,-1.432768289134035e-07,1.0
4,0.0,0.0,1.0
5,0.0473135678895537,-0.00018238054180838621,1.0
6,0.0006729186376711974,-9.098587598030044e-08,1.0
7,0.010835702220599075,-1.3411972904156887e-06,1.0
8,0.011384789831936668,1.5575518735721264e-06,1.0
9,0.012238164588012912,5.689436612337685e-05,1.0
10,0.010321650964519008,2.3123604249411545e-06,1.0
11,0.01047270450242605,0.00010194023774251256,1.0
12,0.010474754186968603,2.247764060629911e-06,1.0
13,0.014075065652547888,1.080669250167005e-05,1.0
14,0.01897149564079504,-9.794618933872637e-06,1.0
15,0.041061801215145334,-1.6934283931368194e-05,1.0
16,0.01383638319877761,2.2564025565011153e-05,1.0
17,0.05475559691747761,-0.0013328685539149116,1.0
18,0.03641795987887158,-8.49253824088491e-06,1.0
19,0.1624472882557786,-0.0019674286647031075,1.0
20,0.16696665447177664,0.00024361940389835943,1.0
21,0.08973129093918168,5.182859967344143e-05,1.0
22,0.11349229764078979,9.396987834268379e-05,1.0
23,0.08712490399819564,3.79304037937869e-05,1.0
24,0.16745952766987737,0.001626752637496676,1.0
25,0.2735163308178698,0.001092873511020264,1.0
26,0.2790472919218117,0.0006767358106634896,1.0
27,0.32348333985530353,0.002148444401106097,1.0
28,0.2668602517212682,0.0001787174299405243,1.0
29,0.30838958966264773,-0.00036891016886444523,1.0
30,0.31186948832011413,-0.0039876820007412475,1.0
31,0.4480738634309211,0.004851719554383107,1.0
32,0.5167032703777888,0.006437618529613294,1.0
33,0.4630782209499201,0.00022536638257053497,1.0
34,0.505088619176682,-0.0005584938285913259,1.0
35,0.5744678289356394,0.002801704388076728,1.0
36,0.5621706394347913,0.0038588395149664815,1.0
37,0.6500113020552338,0.0003724838102610533,1.0
38,0.7654581386419741,0.0032552487127191785,1.0
39,0.6060750791644672,0.0003664268043003933,1.0
40,0.8875365078413879,0.00044568000359690554,1.0
41,0.6876415668010325,0.0038563486809514128,1.0
42,0.6613505421257831,0.0007139571945126514,1.0
43,0.7043953754912549,-0.0004804137895934158,1.0
44,0.8116643301101507,-0.003569950264655991,1.0
45,0.8049506919431905,0.014617146697650591,1.0
46,1.0362948050919145,0.004200664246755259,1.0
47,0.8694909118452755,-0.0010219620004710069,1.0
48,0.7735780452373773,0.0009233097353462225,1.0
49,1.0601712991096628,-0.006907975584363997,1.0
50,1.0174958490949593,-0.002250544271341038,1.0
